file_name, index, energy_consumed(J), time_used(ms)
bank.csv, 0, 0.09574270984109001,  36.63 
shanghai_license.csv, 0, 0.015728612242910032,  6.02 
nile.csv, 0, 0.06296572623537998,  23.93 
construction.csv, 0, 0.45928257106852216,  171.50 
well_log.csv, 0, 0.2571749230350056,  94.29 
centralia.csv, 0, 0.0021513247616701393,  0.71 
gdp_japan.csv, 0, 0.004208098588219684,  1.40 
jfk_passengers.csv, 0, 0.09188780830004958,  35.07 
businv.csv, 0, 0.12413011181633621,  46.85 
quality_control_4.csv, 0, 0.0782170820961113,  29.61 
brent_spot.csv, 0, 0.06847748007954152,  25.81 
robocalls.csv, 0, 0.02864391151264783,  10.49 
ozone.csv, 0, 0.0031660842931700017,  1.26 
scanline_42049.csv, 0, 0.05504398424876939,  20.88 
seatbelts.csv, 0, 0.034393666666190086,  12.67 
bee_waggle_6.csv, 0, 0.09683210622853779,  35.84 
quality_control_2.csv, 0, 0.15387570944608028,  57.63 
children_per_woman.csv, 0, 0.14088717890992256,  53.12 
apple.csv, 0, 0.10910400385373833,  40.61 
run_log.csv, 0, 0.037393657859540214,  14.10 
scanline_126007.csv, 0, 0.051111174433372354,  19.81 
unemployment_nl.csv, 0, 0.051726633112070035,  19.61 
gdp_iran.csv, 0, 0.015631628802150885,  6.10 
co2_canada.csv, 0, 0.036992832456818406,  14.30 
lga_passengers.csv, 0, 0.3400365692813398,  128.22 
rail_lines.csv, 0, 0.00733535283007086,  3.01 
occupancy.csv, 0, 0.22130390488484125,  82.32 
uk_coal_employ.csv, 0, 0.06041295833243168,  22.88 
bitcoin.csv, 0, 0.11978921428268847,  45.43 
quality_control_3.csv, 0, 0.0317965695362841,  12.01 
measles.csv, 0, 0.19976951370244364,  73.90 
us_population.csv, 0, 0.32393493084245734,  117.65 
gdp_argentina.csv, 0, 0.02427289550949979,  9.16 
quality_control_5.csv, 0, 0.060595846432789244,  22.79 
debt_ireland.csv, 0, 0.003624691108059892,  1.47 
gdp_croatia.csv, 0, 0.002144011486170143,  0.96 
ratner_stock.csv, 0, 0.19312908914200533,  72.71 
quality_control_1.csv, 0, 0.02105720445367865,  8.07 
usd_isk.csv, 0, 0.03797614560632155,  14.38 
iceland_tourism.csv, 0, 0.04295142115079045,  16.43 
homeruns.csv, 0, 0.07037600753729749,  26.93 
global_co2.csv, 0, 0.05119547520029073,  19.34 
bank.csv, 1, 0.093226253676047,  34.61 
shanghai_license.csv, 1, 0.07550761605127775,  28.31 
nile.csv, 1, 0.03176130653049995,  11.90 
construction.csv, 1, 0.36404360022503,  137.33 
well_log.csv, 1, 0.328138900285619,  123.13 
centralia.csv, 1, 0.001056050231620702,  0.48 
gdp_japan.csv, 1, 0.0021475075345995264,  1.11 
jfk_passengers.csv, 1, 0.033354042536553836,  12.47 
businv.csv, 1, 0.2420031067263619,  91.14 
quality_control_4.csv, 1, 0.06933362028364741,  26.01 
brent_spot.csv, 1, 0.12185466631327017,  45.91 
robocalls.csv, 1, 0.01784448022122433,  6.89 
ozone.csv, 1, 0.0037387056799411764,  1.17 
scanline_42049.csv, 1, 0.10905274143945348,  41.61 
seatbelts.csv, 1, 0.011571699021349104,  4.59 
bee_waggle_6.csv, 1, 0.07887671249658297,  29.10 
quality_control_2.csv, 1, 0.02631971896054665,  9.46 
children_per_woman.csv, 1, 0.12727352636710862,  43.68 
apple.csv, 1, 0.31057037945975824,  114.36 
run_log.csv, 1, 0.1645903112683561,  61.04 
scanline_126007.csv, 1, 0.19304098138289988,  72.77 
unemployment_nl.csv, 1, 0.05665986587503198,  20.95 
gdp_iran.csv, 1, 0.023168496164241787,  9.11 
co2_canada.csv, 1, 0.05493921711556595,  20.72 
